Lotto
Archivio estrazioni Lotto anno 1882 aggiornato al 30/12/1882
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
18	06/05/1882	76 63 88 79 81 	76 63 88 79 81 	86 57 6 49 3 	86 57 6 49 3 	75 90 79 57 50 	65 17 77 58 79 	41 36 9 88 33 	66 56 3 46 42 	32 5 7 58 14 	4 46 83 56 87 	4 46 83 56 87 	
17	29/04/1882	27 62 84 8 48 	27 62 84 8 48 	34 68 81 72 53 	34 68 81 72 53 	82 64 1 5 10 	16 15 13 89 82 	38 73 59 6 12 	54 67 22 47 24 	37 48 13 55 70 	27 51 89 82 1 	27 51 89 82 1 	
16	22/04/1882	88 47 82 4 11 	88 47 82 4 11 	73 28 34 65 74 	73 28 34 65 74 	18 3 48 81 73 	3 44 7 42 50 	69 39 26 74 18 	8 73 42 18 88 	86 11 17 78 73 	56 28 29 72 22 	56 28 29 72 22 	
15	15/04/1882	33 73 3 67 82 	33 73 3 67 82 	31 86 28 21 4 	31 86 28 21 4 	72 38 47 8 83 	56 55 69 83 38 	28 1 65 24 18 	25 33 48 71 89 	82 30 45 64 80 	67 6 46 72 29 	67 6 46 72 29 	
14	08/04/1882	49 43 65 13 72 	49 43 65 13 72 	37 86 56 75 40 	37 86 56 75 40 	53 26 49 11 1 	37 36 29 78 41 	69 49 88 10 40 	45 27 88 59 36 	16 69 12 75 31 	34 43 67 68 77 	34 43 67 68 77 	
13	01/04/1882	48 65 52 40 85 	48 65 52 40 85 	62 10 75 83 85 	62 10 75 83 85 	58 31 79 19 68 	81 21 89 44 33 	90 24 62 32 6 	41 54 23 87 65 	73 37 27 41 53 	45 47 14 22 68 	45 47 14 22 68 	
12	25/03/1882	65 43 39 87 23 	65 43 39 87 23 	9 60 48 38 63 	9 60 48 38 63 	35 81 49 68 67 	75 29 79 69 16 	26 90 71 78 51 	44 15 82 24 6 	50 70 18 73 14 	56 77 63 36 30 	56 77 63 36 30 	
11	18/03/1882	26 78 54 62 21 	26 78 54 62 21 	72 4 52 34 5 	72 4 52 34 5 	35 88 37 61 10 	22 7 72 79 57 	87 38 77 1 70 	53 40 19 21 30 	68 8 15 72 48 	67 38 88 10 21 	67 38 88 10 21 	
10	11/03/1882	56 1 22 44 54 	56 1 22 44 54 	23 17 34 84 28 	23 17 34 84 28 	55 42 15 25 13 	49 26 60 23 82 	3 66 19 53 85 	67 78 20 26 53 	7 48 10 72 70 	49 32 53 45 12 	49 32 53 45 12 	
9	04/03/1882	67 26 25 48 49 	67 26 25 48 49 	58 29 26 14 49 	58 29 26 14 49 	12 30 20 63 79 	86 75 38 45 30 	12 75 29 65 26 	34 53 88 37 17 	29 81 89 51 24 	70 23 34 21 26 	70 23 34 21 26 	
8	25/02/1882	5 47 49 19 79 	5 47 49 19 79 	66 55 87 22 29 	66 55 87 22 29 	12 52 33 51 23 	54 24 30 80 64 	45 47 31 44 2 	53 5 17 81 32 	11 52 31 32 90 	33 30 17 16 41 	33 30 17 16 41 	
7	18/02/1882	5 63 76 77 69 	5 63 76 77 69 	2 18 32 17 22 	2 18 32 17 22 	74 27 37 24 15 	78 1 51 65 72 	65 55 35 21 45 	4 2 7 15 80 	40 3 90 32 1 	79 90 1 28 13 	79 90 1 28 13 	
6	11/02/1882	53 49 4 88 34 	53 49 4 88 34 	88 84 56 60 19 	88 84 56 60 19 	85 64 63 2 84 	31 40 89 83 19 	21 72 68 16 45 	49 90 83 45 1 	59 33 34 51 14 	62 12 43 58 26 	62 12 43 58 26 	
5	04/02/1882	57 20 88 11 66 	57 20 88 11 66 	60 39 51 36 71 	60 39 51 36 71 	14 61 49 4 84 	66 67 69 48 64 	58 55 8 37 79 	19 36 69 10 80 	23 1 2 30 41 	8 65 2 37 15 	8 65 2 37 15 	
4	28/01/1882	65 56 32 64 55 	65 56 32 64 55 	86 43 14 82 42 	86 43 14 82 42 	42 29 21 24 47 	60 36 75 11 55 	74 21 39 79 7 	1 90 81 18 25 	69 4 27 88 65 	34 5 45 25 15 	34 5 45 25 15 	
3	21/01/1882	31 10 37 29 43 	31 10 37 29 43 	3 23 89 88 48 	3 23 89 88 48 	7 48 86 26 59 	5 67 79 57 20 	88 29 15 69 46 	18 57 65 33 16 	18 28 56 7 22 	68 23 70 79 61 	68 23 70 79 61 	
2	14/01/1882	32 16 58 68 10 	32 16 58 68 10 	32 65 37 26 45 	32 65 37 26 45 	73 9 87 28 29 	25 62 85 9 87 	53 78 62 48 14 	50 61 24 90 13 	80 27 8 82 54 	74 24 2 37 10 	74 24 2 37 10 	
1	07/01/1882	25 83 86 50 61 	25 83 86 50 61 	75 30 20 81 15 	75 30 20 81 15 	53 13 41 14 22 	32 12 85 86 41 	45 53 58 26 79 	84 8 50 21 72 	63 62 57 77 12 	7 59 9 70 18 	7 59 9 70 18 	
